courses_list,occupation
"['Accounting for Managers', 'Advanced Marketing Analytics', 'Advanced Marketing Management', 'Consulting', 'Corporate Insurance & Alternative Risk Financing', 'Corporate Risk Management', 'Data Analyis for Manager', 'Database Marketing', 'Decision Making and Risk', 'Ethics & Leadership']",Product Marketing @ BitTiger
"['Applied Cryptography', 'Applied Stochastic Processes', 'Big Data Science', 'Building Reliable Distributed Systems', 'Data Structure', 'Distributed Systems', 'Enterprise Web Development', 'Introduction to Computer System', 'Java for Application Programmers', 'Machine Learning']",Master Student at CMU
"['Advanced Mobile Devices and Game Consoles', 'Analysis of Algorithms', 'C Programming Language', 'Cloud Computing Concepts', 'Data Structure', 'Database Systems', 'Foundations of Artificial Intelligence', 'Front-End JavaScript Frameworks: AngularJS', 'Front-End Web UI Frameworks and Tools', 'Hadoop Platform and Application Framework']",Software Engineer at Google/YouTube
"['Aws developer associate - acloudguru', 'Aws solutions architect professional - acloudguru', 'Aws solutions architects associate - acloudguru', 'Aws sysops administrator- acloudguru', 'Backend/API testing with Python', 'Cloud technologies', 'CompTIA Security+ Certification SY0-401', 'Data Mining and Bussiness Intelligence', 'Enterprise software overview', 'IT Security and Ethical Hacking']","Certified COMPTIA Linux+, AWS Professional Solution Architect, Salesforce App builder, Salesforce Administrator, LPIC-1"
"['Advanced Mathematics', 'Analysis of Algorithms', 'Artificial Intelligence', 'Computer Network', 'Data Structure', 'Database Systems', 'Discrete Mathematics', 'Field Theory & Complex Functions', 'Linear Algebra and Application', 'Operating Systems']",Software Engineer Intern at LinkedIn.
"['DICOM DCMTK OFFIS e.V. in Oldenburg Germany', 'Delphi Developers Conference Courses', 'Harvard Using Python for Research', 'MIT Programming Using Python', 'MicroChip Masters Courses in Phoenix AZ']",Leveraging deep technical expertise and superior interpersonal skills to improve end user productivity.
"['Applied Data Mining', 'Calculus', 'Computer Security', 'Data Communications Systems and Networks', 'Data Visualization', 'Database Design Concepts', 'Image Processing', 'Information Systems Architecture', 'Linear Algebra', 'Mathematic Physics Equations and Special Functions']",Incoming Application Engineer @Google
"['15641', 'Advanced Cloud Computing', 'Computer Vision', 'DevOps', 'Foundations of Computer Systems', 'NoSQL Management', 'Object Oriented Programming in Java', 'Search Engines', 'Speech Recognition and Understanding']",Graduate Student at Carnegie Mellon University(Dec 2017)
"['C Programming', 'Computer Hardware', 'Computer software', 'Data Structure', 'Database Theory', 'Introduction to Programming System Design', 'Probability Theory', 'Web Technologies']",Student at CMU / ServiceNow software intern
"['Cloud Computing', 'Design and Analysis of AlgorIthms', 'Introduction to Artificial Intelligence', 'Introduction to Computer Systems', 'Principles of Data Management', 'Web Application Development']",Seeking full time opportunities in Software Engineering
"['Applied Machine Learning', 'Biomedical Imaging & Analysis', 'Coding Boot Camp', 'Foundation of Software Engineering', 'How to Write Fast Code', 'Introduce to Computer Architecture', 'Introduce to Computer System', 'Introduce to Machine Learning', 'Numerical Method Engineering Design & Optimization', 'Speech Recognition']",Software Developer at SAP Ariba
"['Big Data Management and Analytics', 'Database Design', 'Design and Analysis of Computer Algorithms', 'Machine Learning', 'Natural Language Processing', 'Operating System', 'Special Topics in Computer Science - Data Representations', 'Virtual Reality - Virtual Reality', 'Web Programming Languages']",Graduate student at UTD and looking for 2018 Software Engineer spring and summer internship
"['Advanced Data Structures and Algorithm', 'Business management', 'C++ Programming', 'Cloud Computing', 'Computational and cognitive neuroscience', 'Computer Network', 'Data Structures', 'Discrete Mathematics', 'Distributed System', 'Introduction to Computer System']",Graduate Student at Carnegie Mellon University
"['Computer Networking', 'Could Computing', 'Data Structures and Algorithms', 'Database Management System', 'Distributed System', 'Operating System', 'Web Technology']",Software Engineer at Hyundai Mobis
